x,y,z,Fx,Fy,Fz
0.00833333333333,-0.04,0.0,0.004534634636103559,-0.01983530194659364,-3.2368018210645963e-19
0.01,-0.04,0.0,0.005412125306015815,-0.019777290195328357,-8.092004552661491e-20
0.0116666666667,-0.04,0.0,0.006274209206887434,-0.01970935188594687,6.473603642129193e-19
0.0133333333333,-0.04,0.0,0.00711883264741545,-0.019631784991362863,0.0
0.015,-0.04,0.0,0.007944151863462078,-0.019544924038788086,0.0
0.0166666666667,-0.04,0.0,0.008748545578891745,-0.019449136480597536,0.0
0.0183333333333,-0.04,0.0,0.009530622341392495,-0.01934481880302268,6.473603642129193e-19
0.02,-0.04,0.0,0.01028922285324253,-0.019232392444622746,0.0
0.0216666666667,-0.04,0.0,0.011023417678597118,-0.019112299598251392,1.2947207284258385e-18
0.0233333333333,-0.04,0.0,0.011732500835549262,-0.018984998969714034,0.0
0.025,-0.04,0.0,0.012415979869278924,-0.01885096156407851,0.0
0.0266666666667,-0.04,0.0,0.013073563051700033,-0.01871066656630776,0.0
0.0283333333333,-0.04,0.0,0.013705144368179914,-0.018564597376653946,0.0
0.03,-0.04,0.0,0.01431078693656761,-0.01841323785403922,0.0
0.0316666666667,-0.04,0.0,0.014890705461880285,-0.018257068812242858,0.0
0.0333333333333,-0.04,0.0,0.015445248271857373,-0.01809656480440288,0.0
0.035,-0.04,0.0,0.015974879408631005,-0.017932191222277537,0.0
0.0366666666667,-0.04,0.0,0.016480161172356438,-0.017764401727560775,-1.2947207284258385e-18
0.0383333333333,-0.04,0.0,0.016961737435012267,-0.01759363602358279,0.0
0.04,-0.04,0.0,0.01742031796799541,-0.01742031796799541,0.0
0.0416666666667,-0.04,0.0,0.008821975834945817,-0.017244854020004544,1.2947207284258385e-18
-0.0416666666667,-0.0383333333333,0.0,-0.008908262373330556,-0.01678518041136756,0.0
-0.04,-0.0383333333333,0.0,-0.01759363602358291,-0.016961737435012267,0.0
-0.0383333333333,-0.0383333333333,0.0,-0.01713632618262591,-0.01713632618262591,6.473603642129193e-19
-0.0366666666667,-0.0383333333333,0.0,-0.01665555416425845,-0.017308532382345046,0.0
-0.035,-0.0383333333333,0.0,-0.016150553524412463,-0.017477922300471422,2.589441456851677e-18
-0.0333333333333,-0.0383333333333,0.0,-0.015620622438495133,-0.017644044226717344,0.0
-0.0316666666667,-0.0383333333333,0.0,-0.015065140259662456,-0.017806430326987092,0.0
-0.03,-0.0383333333333,0.0,-0.014483585266329894,-0.01796459887583102,0.0
-0.0283333333333,-0.0383333333333,0.0,-0.013875553353346063,-0.018118056873276903,0.0
-0.0266666666667,-0.0383333333333,0.0,-0.013240777338003468,-0.018266303042342998,0.0
-0.025,-0.0383333333333,0.0,-0.012579146464133953,-0.018408831193556994,0.0
-0.0233333333333,-0.0383333333333,0.0,-0.011890725596448578,-0.01854513393234491,6.473603642129193e-19
-0.0216666666667,-0.0383333333333,0.0,-0.011175773515045576,-0.018674706674458683,0.0
-0.02,-0.0383333333333,0.0,-0.010434759649604235,-0.01879705192340731,0.0
-0.0183333333333,-0.0383333333333,0.0,-0.0096683785395752,-0.018911683753356553,0.0
-0.0166666666667,-0.0383333333333,0.0,-0.008877561282259264,-0.019018132431548603,0.0
-0.015,-0.0383333333333,0.0,-0.008063483240088942,-0.01911594910584352,-4.0460022763307453e-20
-0.0133333333333,-0.0383333333333,0.0,-0.007227567326262771,-0.01920471047659781,0.0
-0.0116666666667,-0.0383333333333,0.0,-0.00637148228023428,-0.01928402336800812,0.0
-0.01,-0.0383333333333,0.0,-0.005497135481638413,-0.019353529112033044,0.0
-0.00833333333333,-0.0383333333333,0.0,-0.004606660029493284,-0.019412907658761552,0.0
-0.00666666666667,-0.0383333333333,0.0,-0.00370239602769682,-0.019461881330503736,-1.2947207284258385e-18
-0.005,-0.0383333333333,0.0,-0.002786866257521461,-0.01950021814242495,-1.2947207284258385e-18
-0.00333333333333,-0.0383333333333,0.0,-0.0018627466686626703,-0.019527734620625847,0.0
-0.00166666666667,-0.0383333333333,0.0,-0.0009328323667660184,-0.019544298058431067,0.0
4.33680868994e-19,-0.0383333333333,0.0,1.429158374108562e-19,-0.019549828163162343,0.0
0.00166666666667,-0.0383333333333,0.0,0.0009328323667660188,-0.019544298058431067,0.0
0.00333333333333,-0.0383333333333,0.0,0.0018627466686626703,-0.019527734620625847,0.0
0.005,-0.0383333333333,0.0,0.002786866257521461,-0.01950021814242495,-1.2947207284258385e-18
0.00666666666667,-0.0383333333333,0.0,0.00370239602769682,-0.019461881330503736,-1.2947207284258385e-18
0.00833333333333,-0.0383333333333,0.0,0.004606660029493284,-0.019412907658761552,0.0
0.01,-0.0383333333333,0.0,0.005497135481638413,-0.019353529112033044,0.0
0.0116666666667,-0.0383333333333,0.0,0.006371482280234282,-0.01928402336800812,0.0
0.0133333333333,-0.0383333333333,0.0,0.007227567326262774,-0.01920471047659781,6.473603642129193e-19
0.015,-0.0383333333333,0.0,0.00806348324008894,-0.01911594910584352,-4.0460022763307453e-20
0.0166666666667,-0.0383333333333,0.0,0.008877561282259264,-0.019018132431548603,0.0
0.0183333333333,-0.0383333333333,0.0,0.0096683785395752,-0.018911683753356553,0.0
0.02,-0.0383333333333,0.0,0.010434759649604235,-0.01879705192340731,0.0
0.0216666666667,-0.0383333333333,0.0,0.011175773515045576,-0.018674706674458683,0.0
0.0233333333333,-0.0383333333333,0.0,0.011890725596448578,-0.01854513393234491,6.473603642129193e-19
0.025,-0.0383333333333,0.0,0.012579146464133953,-0.018408831193556994,0.0
0.0266666666667,-0.0383333333333,0.0,0.013240777338003466,-0.018266303042342998,-1.2947207284258385e-18
0.0283333333333,-0.0383333333333,0.0,0.013875553353346063,-0.018118056873276903,0.0
0.03,-0.0383333333333,0.0,0.014483585266329896,-0.01796459887583102,0.0
0.0316666666667,-0.0383333333333,0.0,0.015065140259662456,-0.017806430326987092,0.0
0.0333333333333,-0.0383333333333,0.0,0.015620622438495133,-0.017644044226717347,1.6184009105322981e-19
0.035,-0.0383333333333,0.0,0.016150553524412463,-0.017477922300471422,2.589441456851677e-18
0.0366666666667,-0.0383333333333,0.0,0.01665555416425845,-0.017308532382345046,0.0
0.0383333333333,-0.0383333333333,0.0,0.017136326182625915,-0.01713632618262591,6.473603642129193e-19
0.04,-0.0383333333333,0.0,0.01759363602358291,-0.016961737435012267,0.0
0.0416666666667,-0.0383333333333,0.0,0.008908262373330556,-0.01678518041136756,-8.092004552661491e-20
-0.0416666666667,-0.0366666666667,0.0,-0.008993231769856357,-0.0163029870810134,0.0
-0.04,-0.0366666666667,0.0,-0.017764401727560775,-0.016480161172356438,-1.2947207284258385e-18
-0.0383333333333,-0.0366666666667,0.0,-0.01730853238234505,-0.01665555416425845,0.0
-0.0366666666667,-0.0366666666667,0.0,-0.01682874565476054,-0.016828745654760537,0.0
-0.035,-0.0366666666667,0.0,-0.01632421697889254,-0.016999293691548442,0.0
-0.0333333333333,-0.0366666666667,0.0,-0.015794184771083807,-0.01716673616507458,0.0
-0.0316666666667,-0.0366666666667,0.0,-0.015237967873003133,-0.017330592601439456,1.2947207284258385e-18
-0.03,-0.0366666666667,0.0,-0.014654984373775238,-0.017490366373667382,3.2368018210645963e-19
-0.0283333333333,-0.0366666666667,0.0,-0.014044771566205726,-0.01764554734232914,1.2947207284258385e-18
-0.0266666666667,-0.0366666666667,0.0,-0.013407006699756242,-0.017795614927476906,0.0
-0.025,-0.0366666666667,0.0,-0.012741528093951345,-0.017940041602928888,0.0
-0.0233333333333,-0.0366666666667,0.0,-0.01204835607205834,-0.018078296792154405,0.0
-0.0216666666667,-0.0366666666667,0.0,-0.011327713078986086,-0.018209851132616632,-1.2947207284258385e-18
-0.02,-0.0366666666667,0.0,-0.010580042263069309,-0.018334181062183992,0.0
-0.0183333333333,-0.0366666666667,0.0,-0.009806023735094479,-0.018450773668404363,0.0
-0.0166666666667,-0.0366666666667,0.0,-0.009006587682642387,-0.018559131729519243,0.0
-0.015,-0.0366666666667,0.0,-0.008182923519902829,-0.018658778865071446,0.0
-0.0133333333333,-0.0366666666667,0.0,-0.007336484298467897,-0.018749264705067402,1.2947207284258385e-18
-0.0116666666667,-0.0366666666667,0.0,-0.006468985700632862,-0.018830169980308484,0.0
-0.01,-0.0366666666667,0.0,-0.005582399084373047,-0.018901111432580175,0.0
-0.00833333333333,-0.0366666666667,0.0,-0.004678938245113519,-0.01896174644278692,-1.6184009105322981e-19
-0.00666666666667,-0.0366666666667,0.0,-0.0037610397980248895,-0.019011777277802476,0.0
-0.005,-0.0366666666667,0.0,-0.0028313373541922877,-0.019050954862366257,6.473603642129193e-19
-0.00333333333333,-0.0366666666667,0.0,-0.0018926299483295857,-0.01907908199123003,0.0
-0.00166666666667,-0.0366666666667,0.0,-0.0009478454565635966,-0.019096015908185066,0.0
4.33680868994e-19,-0.0366666666667,0.0,1.0683146130876061e-18,-0.019101670192403095,0.0
0.00166666666667,-0.0366666666667,0.0,0.0009478454565635969,-0.01909601590818507,1.2947207284258385e-18
0.00333333333333,-0.0366666666667,0.0,0.0018926299483295846,-0.01907908199123003,0.0
0.005,-0.0366666666667,0.0,0.0028313373541922877,-0.019050954862366257,6.473603642129193e-19
0.00666666666667,-0.0366666666667,0.0,0.0037610397980248895,-0.019011777277802476,0.0
0.00833333333333,-0.0366666666667,0.0,0.004678938245113519,-0.01896174644278692,-1.6184009105322981e-19
0.01,-0.0366666666667,0.0,0.005582399084373047,-0.018901111432580175,0.0
0.0116666666667,-0.0366666666667,0.0,0.006468985700632862,-0.018830169980308484,0.0
